INFRACAO;AMPARO_LEGAL;PROCEDIMENTO;TIPO_INFRACAO;PONTUACAO;INFRATOR;PALAVRAS_CHAVE
NÃO IDENTIFICAR O INFRATOR, MULTA IMPOSTA À PESSOA JURÍDICA;§ 7º e 8º do artigo 257 do CTB, Res. 710/17 do CONTRAN;Auto de infração de natureza administrativa. Verificar procedimentos nos §7 e §8 do artigo 257 do CTB. Auto de infração de natureza administrativa. Verificar procedimentos nos §7 e §8 do artigo 257 do CTB. (Estadual, municipal e rodoviário).;CONFORME INFRAÇÃO QUE ORIGINOU;NÃO COMPUTÁVEL;PROPRIETÁRIO;identificar, infrator, multa, imposta, pessoa, jurídica
DEIXAR O CONDUTOR DE USAR O CINTO DE SEGURANÇA, CONFORME PREVISTO NO ART. 65 DO CTB;Artigos 65, 105, 167 e 270 do CTB, Res. 993/23 do CONTRAN;"Lavrar o auto de infração. A abordagem é obrigatória para veículos originalmente dotados de cinto de segurança do tipo subabdominal para o assento do condutor. Considerar infração condutor usar o cinto de segurança de três pontos: com a parte superior (faixa diagonal) sob o braço; com a parte superior (faixa diagonal) atrás do corpo; sentado sobre a parte inferior (faixa subabdominal); que usar um único cinto de segurança para si e para outro ocupante do veículo; condutor sem usar o cinto de segurança ou utilizando o cinto de forma incorreta em tratores (agrícolas ou não), triciclos e quadriciclos de cabine fechada (exceto quadriciclo convencional, sem cabine, com estrutura mecânica similar à das motocicletas) facultados a transitar em vias públicas. Reter o veículo até a colocação do cinto. Não se exigirá o cinto de segurança para os veículos destinados ao transporte de passageiros em percurso que seja permitido viajar em pé e para veículos de coleção que originalmente não foram dotados de cintos de segurança. Condutor e passageiro sem usar o cinto de segurança, utilizar somente o código 518-51. Conduzir o veículo sem equipamento obrigatório (veículo sem cinto de segurança) corresponde ao código 663-71, de competência Estadual/Rodoviário. Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante (cinto de segurança ineficiente / inoperante ou com dispositivo que trave / afrouxe ou modifique seu funcionamento) corresponde ao código 663-72, de competência estadual/Rodoviário. Exemplos do campo de observações: ""Condutor usava o cinto com a parte superior (faixa diagonal) atrás do corpo""; ""Condutor usava o cinto com a parte superior (faixa diagonal) sob o braço""; ""Condutor usava o cinto sem utilizar a sua parte inferior"". Lavrar o auto de infração. A abordagem é obrigatória para veículos originalmente dotados de cinto de segurança do tipo subabdominal para o assento do condutor. Considerar infração condutor usar o cinto de segurança de três pontos: com a parte superior (faixa diagonal) sob o braço; com a parte superior (faixa diagonal) atrás do corpo; sentado sobre a parte inferior (faixa subabdominal); que usar um único cinto de segurança para si e para outro ocupante do veículo; condutor sem usar o cinto de segurança ou utilizando o cinto de forma incorreta em tratores (agrícolas ou não), triciclos e quadriciclos de cabine fechada (exceto quadriciclo convencional, sem cabine, com estrutura mecânica similar à das motocicletas) facultados a transitar em vias públicas. Reter o veículo até a colocação do cinto. Não se exigirá o cinto de segurança para os veículos destinados ao transporte de passageiros em percurso que seja permitido viajar em pé e para veículos de coleção que originalmente não foram dotados de cintos de segurança. Condutor e passageiro sem usar o cinto de segurança, utilizar somente o código 518-51. Conduzir o veículo sem equipamento obrigatório (veículo sem cinto de segurança) corresponde ao código 663-71, de competência Estadual/Rodoviário. Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante (cinto de segurança ineficiente / inoperante ou com dispositivo que trave / afrouxe ou modifique seu funcionamento) corresponde ao código 663-72, de competência estadual/Rodoviário. Exemplos do campo de observações: ""Condutor usava o cinto com a parte superior (faixa diagonal) atrás do corpo""; ""Condutor usava o cinto com a parte superior (faixa diagonal) sob o braço""; ""Condutor usava o cinto sem utilizar a sua parte inferior"". (Estadual, municipal e rodoviário).";GRAVE;5 PONTOS;CONDUTOR;deixar, condutor, usar, cinto, segurança, conforme, previsto, art, ctb
DEIXAR O PASSAGEIRO DE USAR O CINTO DE SEGURANÇA, CONFORME PREVISTO NO ART. 65 DO CTB;Artigos 65, 105, 167 e 270 do CTB, Res. 993/23 do CONTRAN;"Lavrar o auto de infração. A abordagem é obrigatória para veículos originalmente dotados de cinto de segurança do tipo subabdominal para os passageiros. É obrigatório informar qual acento o passageiro estava ocupando quando não houver abordagem. Considerar infração passageiro usar o cinto de segurança de três pontos: com a parte superior (faixa diagonal) sob o braço; com a parte superior (faixa diagonal) atrás do corpo; sentado sobre a parte inferior (faixa subabdominal); que usar um único cinto de segurança para si e para outro ocupante do veículo; passageiro sem usar o cinto de segurança ou utilizando o cinto de forma incorreta em tratores (agrícolas ou não), triciclos e quadriciclos de cabine fechada (exceto quadriciclo convencional, sem cabine, com estrutura mecânica similar à das motocicletas), facultados a transitar em vias públicas. Reter o veículo até a colocação do cinto. Não se exigirá o cinto de segurança para os veículos destinados ao transporte de passageiros em percurso que seja permitido viajar em pé e para veículos de coleção que originalmente não foram dotados de cintos de segurança. Transportar criança menor de dez anos de idade que não tenha atingido 1,45m de altura sem usar o cinto de segurança, utilizar o código 519-30. Condutor e passageiro sem usar o cinto de segurança, utilizar somente o código 518-51. Conduzir o veículo sem equipamento obrigatório (veículo sem cinto de segurança) corresponde ao código 663-71, de competência Estadual/Rodoviário. Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante (cinto de segurança ineficiente / inoperante ou com dispositivo que trave / afrouxe ou modifique seu funcionamento) corresponde ao código 663-72, de competência Estadual/Rodoviário. Exemplos do campo de observações: ""Passageiro ao lado do condutor usava o cinto com a parte superior atrás do corpo""; ""O passageiro do banco traseiro esquerdo usava o cinto sem utilizar a sua parte inferior""; ""Veículo abordado e constatado o passageiro do banco traseiro do meio sem usar o cinto de segurança"". Lavrar o auto de infração. A abordagem é obrigatória para veículos originalmente dotados de cinto de segurança do tipo subabdominal para os passageiros. É obrigatório informar qual acento o passageiro estava ocupando quando não houver abordagem. Considerar infração passageiro usar o cinto de segurança de três pontos: com a parte superior (faixa diagonal) sob o braço; com a parte superior (faixa diagonal) atrás do corpo; sentado sobre a parte inferior (faixa subabdominal); que usar um único cinto de segurança para si e para outro ocupante do veículo; passageiro sem usar o cinto de segurança ou utilizando o cinto de forma incorreta em tratores (agrícolas ou não), triciclos e quadriciclos de cabine fechada (exceto quadriciclo convencional, sem cabine, com estrutura mecânica similar à das motocicletas), facultados a transitar em vias públicas. Reter o veículo até a colocação do cinto. Não se exigirá o cinto de segurança para os veículos destinados ao transporte de passageiros em percurso que seja permitido viajar em pé e para veículos de coleção que originalmente não foram dotados de cintos de segurança. Transportar criança menor de dez anos de idade que não tenha atingido 1,45m de altura sem usar o cinto de segurança, utilizar o código 519-30. Condutor e passageiro sem usar o cinto de segurança, utilizar somente o código 518-51. Conduzir o veículo sem equipamento obrigatório (veículo sem cinto de segurança) corresponde ao código 663-71, de competência Estadual/Rodoviário. Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante (cinto de segurança ineficiente / inoperante ou com dispositivo que trave / afrouxe ou modifique seu funcionamento) corresponde ao código 663-72, de competência Estadual/Rodoviário. Exemplos do campo de observações: ""Passageiro ao lado do condutor usava o cinto com a parte superior atrás do corpo""; ""O passageiro do banco traseiro esquerdo usava o cinto sem utilizar a sua parte inferior""; ""Veículo abordado e constatado o passageiro do banco traseiro do meio sem usar o cinto de segurança"". (Estadual, municipal e rodoviário).";GRAVE;5 PONTOS;CONDUTOR;deixar, passageiro, usar, cinto, segurança, conforme, previsto, art, ctb
TRANSPORTAR CRIANÇAS EM VEÍCULO AUTOMOTOR SEM OBSERVÂNCIA DAS NORMAS DE SEGURANÇA ESPECIAIS ESTABELECIDAS PELO CTB;Artigos 64, 168 e 270 do CTB, Res. 508/14 e 819/21 do CONTRAN;"Lavrar o auto de infração. Abordagem obrigatória, exceto quando não restar dúvida ao agente que a criança é menor de 10 anos e que não tenha atingido 1,45m. Considerar infração transportar criança menor de 10 anos que não tenha atingido 1,45m de altura: sem o uso de DRC (Dispositivo de retenção para o transporte de crianças) ou cinto de segurança; sem o uso do DRC adequado à idade, peso e altura; utilizando DRC diferente dos modelos regulamentados ou ineficiente, inoperante ou em desacordo com as prescrições do fabricante. Considerar infração também veículo dotado de airbag no banco dianteiro do passageiro, transportar criança com até 7 anos e meio em dispositivo de retenção: posicionado no sentido contrário à marcha do veículo ou no sentido da marcha do veículo, com bandeja ou acessório equivalente incorporado ao dispositivo de retenção ou cujo banco do passageiro não esteja ajustado em sua última posição. Considerar infração também transportar criança de 4 a 7 anos e meio no banco traseiro sem utilizar o cinto de dois pontos, em veículo originalmente fabricado com cinto de dois pontos no banco traseiro. Não considerar infração transportar criança com idade inferior a 10 anos com o uso do dispositivo adequado, no banco dianteiro do veículo: em veículo dotado exclusivamente de bancos dianteiros ou quando a quantidade de crianças superar a capacidade máxima do banco traseiro ou em veículo dotado originalmente de cintos de segurança subabdominais de dois pontos nos bancos traseiros e de três pontos no banco dianteiro. Demais normas de segurança para o transporte de crianças estão descritas na Resolução 819/21 do CONTRAN. Reter o veículo até que a irregularidade seja sanada. As exigências relativas ao sistema de retenção no transporte de crianças com até sete anos e meio de idade não se aplicam aos veículos de transporte coletivo de passageiros, aos de aluguel, aos de transporte remunerado individual de passageiros no exercício da função, aos veículos escolares e aos demais veículos com peso bruto total superior a 3,5 t. Conduzir o veículo transportando crianças em compartimento de carga, utilizar código 656-40. Conduzir crianças nas partes externas do veículo, utilizar código 694-71. Conduzir motocicleta, motoneta ou ciclomotor transportando criança menor de 10 anos ou que não tenha, nas circunstâncias, condições de cuidar de sua própria segurança, utilizar códigos 707- 21 ou 707-22 respectivamente. Exemplos do campo de observações: ""Criança com até um ano de idade sendo transportada no colo do passageiro""; ""Criança menor de 10 anos em pé entre os bancos da frente"". Lavrar o auto de infração. Abordagem obrigatória, exceto quando não restar dúvida ao agente que a criança é menor de 10 anos e que não tenha atingido 1,45m. Considerar infração transportar criança menor de 10 anos que não tenha atingido 1,45m de altura: sem o uso de DRC (Dispositivo de retenção para o transporte de crianças) ou cinto de segurança; sem o uso do DRC adequado à idade, peso e altura; utilizando DRC diferente dos modelos regulamentados ou ineficiente, inoperante ou em desacordo com as prescrições do fabricante. Considerar infração também veículo dotado de airbag no banco dianteiro do passageiro, transportar criança com até 7 anos e meio em dispositivo de retenção: posicionado no sentido contrário à marcha do veículo ou no sentido da marcha do veículo, com bandeja ou acessório equivalente incorporado ao dispositivo de retenção ou cujo banco do passageiro não esteja ajustado em sua última posição. Considerar infração também transportar criança de 4 a 7 anos e meio no banco traseiro sem utilizar o cinto de dois pontos, em veículo originalmente fabricado com cinto de dois pontos no banco traseiro. Não considerar infração transportar criança com idade inferior a 10 anos com o uso do dispositivo adequado, no banco dianteiro do veículo: em veículo dotado exclusivamente de bancos dianteiros ou quando a quantidade de crianças superar a capacidade máxima do banco traseiro ou em veículo dotado originalmente de cintos de segurança subabdominais de dois pontos nos bancos traseiros e de três pontos no banco dianteiro. Demais normas de segurança para o transporte de crianças estão descritas na Resolução 819/21 do CONTRAN. Reter o veículo até que a irregularidade seja sanada. As exigências relativas ao sistema de retenção no transporte de crianças com até sete anos e meio de idade não se aplicam aos veículos de transporte coletivo de passageiros, aos de aluguel, aos de transporte remunerado individual de passageiros no exercício da função, aos veículos escolares e aos demais veículos com peso bruto total superior a 3,5 t. Conduzir o veículo transportando crianças em compartimento de carga, utilizar código 656-40. Conduzir crianças nas partes externas do veículo, utilizar código 694-71. Conduzir motocicleta, motoneta ou ciclomotor transportando criança menor de 10 anos ou que não tenha, nas circunstâncias, condições de cuidar de sua própria segurança, utilizar códigos 707-21 ou 707-22 respectivamente. Exemplos do campo de observações: ""Criança com até um ano de idade sendo transportada no colo do passageiro""; ""Criança menor de 10 anos em pé entre os bancos da frente"". (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;transportar, crianças, veículo, automotor, observância, normas, segurança, especiais, estabelecidas, ctb
DIRIGIR SEM ATENÇÃO OU SEM OS CUIDADOS INDISPENSÁVEIS À SEGURANÇA;Artigos 26, 28 e 169 do CTB e Res. 735/18, 859/21, 911/22, 917/22, 935/22, 940/22, 945/22 e 955/22 do CONTRAN;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração: I - Dirigir lendo, se maquiando, olhando para os lados, conversando distraidamente com passageiro, procurando objetos no interior do veículo; II - Transportar cargas com cinta de amarração frouxa; III - Condutor dirigir o veículo com a carroceria na posição de basculamento; IV - Conduzir ou transportar passageiro em motocicleta, motoneta, ciclomotor, triciclo motorizado de cabine aberta ou quadriciclo motorizado, com capacete sem estar devidamente fixado à cabeça pelo conjunto formado pela cinta jugular e engate, por debaixo do maxilar inferior, de tamanho inadequado ou, no caso de queixeira não abaixada ou não travada, quando mantém a viseira sobre os olhos; V - Tracionar veículo, através de dispositivo de acoplamento mecânico para reboque (engate) utilizado em veículos com PBT de até 3.500kg, sem a utilização de corrente de segurança; VI - Condutor dirigir sem nenhuma das mãos ao volante ou guidão, para veículos com mais de duas rodas; VII - Condutor colidir com cone de sinalização ou outro dispositivo de sinalização auxiliar; VIII - Veículo transitar com qualquer das portas abertas, exceto veículo de transporte público e escolares, ou com a tampa do compartimento de carga ou de bagagem aberta; IX - Veículo sendo rebocado ou transportado como carga, com pessoas em seu interior; X - Transitar com os dispositivos de fixação (cintas têxteis, correntes ou cabos de aço) sem estarem devidamente tencionados; XI - Transportar bloco de rocha ornamental ou chapas serradas com dispositivos de amarração sem estarem devidamente tencionados ou transportar bloco de rocha ornamental com travas de segurança sem estarem devidamente travadas; XII - Transitar com veículo novo inacabado quando não possuir cabine ou esta for incompleta: sem usar regularmente o capacete motociclístico, com viseira ou óculos de proteção, com o capacete que não seja motociclístico ou com o capacete em mau estado de conservação, ou transitando em período noturno, dias chuvosos, com neblina ou cerração; XIII - Condutor que colide com cone de sinalização ou outro dispositivo de sinalização auxiliar, provocando sua queda e/ou passando por cima dele, desde que não adentre em área demarcada de bloqueio viário; XIV - Motocicletas e motonetas destinadas ao transporte remunerado de mercadorias (motofrete), transportando carga em dispositivo de transporte que comprometa a eficiência dos espelhos retrovisores; XV -Transportar cargas ou bicicletas em automóveis, caminhonetes, camionetas e utilitários sem estarem devidamente ancoradas, amarradas ou acondicionadas ou ocultando as luzes, incluídas as luzes de freio (exceto lanterna de freio elevada) e os indicadores de direção e os dispositivos refletores ou utilizando a régua de sinalização em desacordo com a Resolução do CONTRAN; XVI - Veículo prestador de serviço de utilidade pública em deslocamento ou não estiver em efetivo serviço e o condutor acionar a lanterna especial de prestação de serviço em desacordo com a regulamentação, XVII - Veículo dotado de lanterna traseira de neblina e o condutor fizer uso quando não houver neblina ou outras restrições de visibilidade que justifiquem o uso; XVIII - Transportar cargas ou bicicletas em automóveis, caminhonetes, camionetas e utilitários provocando ruído ou poeira. Quando o veículo estiver em movimento, deixar o veículo de transporte público coletivo de passageiros ou veículo de escolares de manter a porta fechada, utilizar códigos 775-71 ou 775-72, respectivamente. Por se tratar de uma infração com o enquadramento genérico, é necessário que o agente autuador descreva a situação constatada. Exemplos do campo de observações: ""Ônibus transitando com uma das portas abertas""; ""Dirigindo e se maquiando""; ""Condutor atingiu com seu veículo um cone que estava instalado no bordo da pista de rolamento, em perfeitas condições de visibilidade. NOTA DO AUTOR: o procedimento descrito neste enquadramento é meramente exemplificativo e não exaure e nem exclui outras situações que impliquem dirigir sem atenção ou sem os cuidados indispensáveis à segurança. Lavrar o auto de infração. Possível sem abordagem. Considerar infração: I - Dirigir lendo, se maquiando, olhando para os lados, conversando distraidamente com passageiro, procurando objetos no interior do veículo; II - Transportar cargas com cinta de amarração frouxa; III - Condutor dirigir o veículo com a carroceria na posição de basculamento; IV - Conduzir ou transportar passageiro em motocicleta, motoneta, ciclomotor, triciclo motorizado de cabine aberta ou quadriciclo motorizado, com capacete sem estar devidamente fixado à cabeça pelo conjunto formado pela cinta jugular e engate, por debaixo do maxilar inferior, de tamanho inadequado ou, no caso de queixeira não abaixada ou não travada, quando mantém a viseira sobre os olhos; V - Tracionar veículo, através de dispositivo de acoplamento mecânico para reboque (engate) utilizado em veículos com PBT de até 3.500kg, sem a utilização de corrente de segurança; VI - Condutor dirigir sem nenhuma das mãos ao volante ou guidão, para veículos com mais de duas rodas; VII - Condutor colidir com cone de sinalização ou outro dispositivo de sinalização auxiliar; VIII - Veículo transitar com qualquer das portas abertas, exceto veículo de transporte público e escolares, ou com a tampa do compartimento de carga ou de bagagem aberta; IX - Veículo sendo rebocado ou transportado como carga, com pessoas em seu interior; X - Transitar com os dispositivos de fixação (cintas têxteis, correntes ou cabos de aço) sem estarem devidamente tencionados; XI - Transportar bloco de rocha ornamental ou chapas serradas com dispositivos de amarração sem estarem devidamente tencionados ou transportar bloco de rocha ornamental com travas de segurança sem estarem devidamente travadas; XII - Transitar com veículo novo inacabado quando não possuir cabine ou esta for incompleta: sem usar regularmente o capacete motociclístico, com viseira ou óculos de proteção, com o capacete que não seja motociclístico ou com o capacete em mau estado de conservação, ou transitando em período noturno, dias chuvosos, com neblina ou cerração; XIII - Condutor que colide com cone de sinalização ou outro dispositivo de sinalização auxiliar, provocando sua queda e/ou passando por cima dele, desde que não adentre em área demarcada de bloqueio viário; XIV - Motocicletas e motonetas destinadas ao transporte remunerado de mercadorias (motofrete), transportando carga em dispositivo de transporte que comprometa a eficiência dos espelhos retrovisores; XV -Transportar cargas ou bicicletas em automóveis, caminhonetes, camionetas e utilitários sem estarem devidamente ancoradas, amarradas ou acondicionadas ou ocultando as luzes, incluídas as luzes de freio (exceto lanterna de freio elevada) e os indicadores de direção e os dispositivos refletores ou utilizando a régua de sinalização em desacordo com a Resolução do CONTRAN; XVI - Veículo prestador de serviço de utilidade pública em deslocamento ou não estiver em efetivo serviço e o condutor acionar a lanterna especial de prestação de serviço em desacordo com a regulamentação, XVII - Veículo dotado de lanterna traseira de neblina e o condutor fizer uso quando não houver neblina ou outras restrições de visibilidade que justifiquem o uso; XVIII - Transportar cargas ou bicicletas em automóveis, caminhonetes, camionetas e utilitários provocando ruído ou poeira. Quando o veículo estiver em movimento, deixar o veículo de transporte público coletivo de passageiros ou veículo de escolares de manter a porta fechada, utilizar códigos 775-71 ou 775-72, respectivamente. Por se tratar de uma infração com o enquadramento genérico, é necessário que o agente autuador descreva a situação constatada. Exemplos do campo de observações: ""Ônibus transitando com uma das portas abertas""; ""Dirigindo e se maquiando""; ""Condutor atingiu com seu veículo um cone que estava instalado no bordo da pista de rolamento, em perfeitas condições de visibilidade. NOTA DO AUTOR: o procedimento descrito neste enquadramento é meramente exemplificativo e não exaure e nem exclui outras situações que impliquem dirigir sem atenção ou sem os cuidados indispensáveis à segurança. (Estadual, municipal e rodoviário).";LEVE;3 PONTOS;CONDUTOR;dirigir, atenção, cuidados, indispensáveis, segurança
DIRIGIR AMEAÇANDO OS PEDESTRES QUE ESTEJAM ATRAVESSANDO A VIA PÚBLICA;Artigos 170 e 270 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Reter o veículo e recolher documento de habilitação mediante recibo. O veículo poderá ser liberado para condutor regularmente habilitado. Não se apresentando condutor habilitado no local da abordagem, o veículo será removido ao depósito. Usar o veículo para arremessar sobre os pedestres água ou detritos, utilizar código 522-31. Exemplos do campo de observações: ""Condutor intimidou com intuito de assustar ou apressar a travessia do pedestre""; ""Acelerou o veículo parado junto ao semáforo, ameaçando arrancar, independentemente da fase semafórica""; ""Mudou repentinamente o rumo do veículo em direção ao pedestre"". NOTA DO AUTOR: os exemplos descritos neste enquadramento são meramente exemplificativos e não exaurem nem excluem outras situações que impliquem dirigir ameaçando os pedestres que estejam atravessando a via pública. Lavrar o auto de infração. Possível sem abordagem. Reter o veículo e recolher documento de habilitação mediante recibo. O veículo poderá ser liberado para condutor regularmente habilitado. Não se apresentando condutor habilitado no local da abordagem, o veículo será removido ao depósito. Usar o veículo para arremessar sobre os pedestres água ou detritos, utilizar código 522-31. Exemplos do campo de observações: ""Condutor intimidou com intuito de assustar ou apressar a travessia do pedestre""; ""Acelerou o veículo parado junto ao semáforo, ameaçando arrancar, independentemente da fase semafórica""; ""Mudou repentinamente o rumo do veículo em direção ao pedestre"". NOTA DO AUTOR: os exemplos descritos neste enquadramento são meramente exemplificativos e não exaurem nem excluem outras situações que impliquem dirigir ameaçando os pedestres que estejam atravessando a via pública. (Estadual, municipal e rodoviário). GRAVÍSSIMA, 7 PONTOS. INFRATOR: CONDUTOR AUTOR: os exemplos descritos neste enquadramento são meramente exemplificativos e não exaurem nem excluem outras situações que impliquem dirigir ameaçando os pedestres que estejam atravessando a via pública. Lavrar o auto de infração. Possível sem abordagem. Reter o veículo e recolher documento de habilitação mediante recibo. O veículo poderá ser liberado para condutor regularmente habilitado. Não se apresentando condutor habilitado no local da abordagem, o veículo será removido ao depósito. Usar o veículo para arremessar sobre os pedestres água ou detritos, utilizar código 522-31. Exemplos do campo de observações: ""Condutor intimidou com intuito de assustar ou apressar a travessia do pedestre""; ""Acelerou o veículo parado junto ao semáforo, ameaçando arrancar, independentemente da fase semafórica""; ""Mudou repentinamente o rumo do veículo em direção ao pedestre"". NOTA DO AUTOR: os exemplos descritos neste enquadramento são meramente exemplificativos e não exaurem nem excluem outras situações que impliquem dirigir ameaçando os pedestres que estejam atravessando a via pública. (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;dirigir, ameaçando, pedestres, atravessando, via, pública
DIRIGIR AMEAÇANDO OS DEMAIS VEÍCULOS;Artigos 170 e 270 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Reter o veículo e recolher documento de habilitação mediante recibo. O veículo poderá ser liberado para condutor regularmente habilitado. Não se apresentando condutor habilitado no local da abordagem, o veículo será removido ao depósito. Disputar corrida, utilizar código 524-00. Usar o veículo para arremessar, sobre os veículos água ou detritos, utilizar código 522-32. Exemplos do campo de observações: ""Ameaçou arrancar com intuito de apressar o condutor do veículo à sua frente""; ""Mudou repentinamente o rumo do veículo em direção a outro, ameaçando abalroá-lo ou tomar a sua frente"". NOTA DO AUTOR: os exemplos descritos neste enquadramento são meramente exemplificativos e não exaurem nem excluem outras situações que impliquem dirigir ameaçando os demais veículos. Lavrar o auto de infração. Possível sem abordagem. Reter o veículo e recolher documento de habilitação mediante recibo. O veículo poderá ser liberado para condutor regularmente habilitado. Não se apresentando condutor habilitado no local da abordagem, o veículo será removido ao depósito. Disputar corrida, utilizar código 524-00. Usar o veículo para arremessar, sobre os veículos água ou detritos, utilizar código 522-32. Exemplos do campo de observações: ""Ameaçou arrancar com intuito de apressar o condutor do veículo à sua frente""; ""Mudou repentinamente o rumo do veículo em direção a outro, ameaçando abalroá-lo ou tomar a sua frente"". NOTA DO AUTOR: os exemplos descritos neste enquadramento são meramente exemplificativos e não exaurem nem excluem outras situações que impliquem dirigir ameaçando os demais veículos. (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;dirigir, ameaçando, demais, veículos
USAR O VEÍCULO PARA ARREMESSAR, SOBRE OS PEDESTRES ÁGUA OU DETRITOS;Artigo 171 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Em via não pavimentada ou com pavimento em más condições de conservação, levar em consideração a dificuldade em evitar o arremesso de substâncias. Considerar infração condutor que atingir intencionalmente pedestre com água ou detritos que se encontram na pista de rolamento: existindo condições de desviar ou reduzir a velocidade, não o faz; ou mudando o curso do veículo para arremessá-las. Dirigir ameaçando os pedestres que estejam atravessando a via pública, utilizar código 521-51. Informar no campo de observações se foi água e/ou detritos. Exemplos do campo de observações: ""Arremessou água podendo desviar da poça""; ""Condutor lançou deliberadamente detritos no pedestre"". Lavrar o auto de infração. Possível sem abordagem. Em via não pavimentada ou com pavimento em más condições de conservação, levar em consideração a dificuldade em evitar o arremesso de substâncias. Considerar infração condutor que atingir intencionalmente pedestre com água ou detritos que se encontram na pista de rolamento: existindo condições de desviar ou reduzir a velocidade, não o faz; ou mudando o curso do veículo para arremessá-las. Dirigir ameaçando os pedestres que estejam atravessando a via pública, utilizar código 521-51. Informar no campo de observações se foi água e/ou detritos. Exemplos do campo de observações: ""Arremessou água podendo desviar da poça""; ""Condutor lançou deliberadamente detritos no pedestre"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;usar, veículo, arremessar, sobre, pedestres, água, detritos
USAR O VEÍCULO PARA ARREMESSAR, SOBRE OS VEÍCULOS ÁGUA OU DETRITOS;Artigo 171 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Em via não pavimentada ou com o pavimento em más condições de conservação, levar em consideração a dificuldade em evitar o arremesso de substâncias. Considerar infração condutor atingir intencionalmente outro veículo com água ou detritos que se encontram na pista de rolamento: existindo condições de desviar ou reduzir a velocidade, não o faz; mudar o curso do veículo para arremessá-las. Dirigir ameaçando os demais veículos, utilizar código 521-52. Informar no campo de observações se foi água e/ou detritos. Exemplos do campo de observações: ""Arremessou detrito podendo evitar""; ""Condutor lançou deliberadamente detritos em outro veículo"". Lavrar o auto de infração. Possível sem abordagem. Em via não pavimentada ou com o pavimento em más condições de conservação, levar em consideração a dificuldade em evitar o arremesso de substâncias. Considerar infração condutor atingir intencionalmente outro veículo com água ou detritos que se encontram na pista de rolamento: existindo condições de desviar ou reduzir a velocidade, não o faz; mudar o curso do veículo para arremessá-las. Dirigir ameaçando os demais veículos, utilizar código 521-52. Informar no campo de observações se foi água e/ou detritos. Exemplos do campo de observações: ""Arremessou detrito podendo evitar""; ""Condutor lançou deliberadamente detritos em outro veículo"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;usar, veículo, arremessar, sobre, veículos, água, detritos
ATIRAR DO VEÍCULO OBJETOS OU SUBSTÂNCIAS;Artigos 26 e 172 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração condutor e/ou passageiro atirar objeto ou substância na via estando em veículo estacionado, parado, imobilizado ou em circulação. Não considerar infração quando a substância for atirada por passageiro de transporte coletivo de passageiros. Abandonar na via objetos ou substâncias, utilizar código 523-12. Sempre que possível descrever no campo observação o objeto ou substância atirada (cigarro, papel, resto de alimento, lata ou garrafa de bebida, etc.). Exemplos do campo de observações: ""Condutor atirou o cigarro pela janela""; ""Passageiro atirou do automóvel bituca de cigarro"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração condutor e/ou passageiro atirar objeto ou substância na via estando em veículo estacionado, parado, imobilizado ou em circulação. Não considerar infração quando a substância for atirada por passageiro de transporte coletivo de passageiros. Abandonar na via objetos ou substâncias, utilizar código 523- 12. Sempre que possível descrever no campo observação o objeto ou substância atirada (cigarro, papel, resto de alimento, lata ou garrafa de bebida, etc.). Exemplos do campo de observações: ""Condutor atirou o cigarro pela janela""; ""Passageiro atirou do automóvel bituca de cigarro"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;atirar, veículo, objetos, substâncias
