SIGLA;SIGNIFICADO
ABNT;Associação Brasileira de Normas Técnicas
ABRAMET;Associação Brasileira de Medicina de Tráfego
ACC;Autorização para Conduzir Ciclomotores
AE;Autorização Específica
AED;Autorização Específica Definitiva
AET;Autorização Especial de Trânsito
AIT;Auto de Infração de Trânsito
ANTT;Agência Nacional de Transportes Terrestres
BHTRANS;Empresa de Transporte e Trânsito de Belo Horizonte
BO;Boletim de Ocorrência
CAT;Competência da Autoridade de Trânsito
CETRAN;Conselho Estadual de Trânsito
CFC;Centro de Formação de Condutores
CLA;Certificado de Licenciamento Anual
CMT;Capacidade Máxima de Tração
CNH;Carteira Nacional de Habilitação
CNH-e;Carteira Nacional de Habilitação Eletrônica
CNPJ;Cadastro Nacional da Pessoa Jurídica
CONAMA;Conselho Nacional do Meio Ambiente
CONTRADIF;Conselho de Trânsito do Distrito Federal
CONTRAN;Conselho Nacional de Trânsito
CP;Código Penal
CPF;Cadastro de Pessoas Físicas
CRLV;Certificado de Registro e Licenciamento de Veículo
CRLV-e;Certificado de Registro e Licenciamento de Veículo em meio digital
CRV;Certificado de Registro de Veículo
CSV;Certificado de Segurança Veicular
CTB;Código de Trânsito Brasileiro
CTV;Combinação para Transporte de Veículos
CTVP;Combinação de Transporte de Veículos e Cargas Paletizadas
CTVV;Convenção de Trânsito Viário de Viena
CVC;Combinação de Veículos de Carga
DAS;Direção e Assessoramento de Superiores
DEAV;Delegacia Especializada em Acidente com Veículo
DENATRAN;Departamento Nacional de Trânsito
DER;Departamento de Edificações e Estradas de Rodagem
DETRAN;Departamento Estadual de Trânsito
dm;Decímetro
DNIT;Departamento Nacional de Infraestrutura de Transportes
DP;Delegacia de Polícia
DPRF;Departamento de Polícia Rodoviária Federal
DRC;Dispositivo de retenção para o transporte de crianças.
DRL;Daytime Running Light (Luz de Rodagem Diurna)
EPI;Equipamento de Proteção Individual
GCM;Guarda Civil Municipal
GNV;Gás Natural Veicular
GPS;Global Positioning System - Sistema de Posicionamento Global
IBAMA;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais
INMETRO;Instituto Nacional de Metrologia Normalização e Qualidade Industrial
INTERNET;Rede Internacional de Computadores Interligados
IPVA;Imposto sobre Propriedades de Veículos Automotores
ISO;International Organization for Standardization (Organização Internacional para Padronização)
ITL;Instituição Técnica Licenciada
ITV;Inspeção Técnica Veicular
NBR;Normas Técnicas Brasileiras
JARI;Junta Administrativa de Recursos de Infrações
Kg;Quilograma
Km;Quilômetro
LCP;Lei das Contravenções Penais
LED;Light Emitting Diode (Diodo Emissor de Luz)
m;Metro
MBFT;Manual Brasileiro de Fiscalização de Trânsito
mg;Miligrama
mm;Milímetro
N°;Número
NIC;Não Identificação do Condutor
NR;Norma Regulamentadora
PBT;Peso Bruto Total
PBTC;Peso Total Bruto Combinado
PDU;Plano Diretor Urbano
PID;Permissão Internacional para Dirigir
PIV;Placa de Identificação Veicular
PM;Polícia Militar
PNATRANS;Plano Nacional de Redução de Mortes e Lesões no Trânsito
PPD;Permissão Para Dirigir
RBMLQ;Registro Nacional de Infrações e Qualidade
RENACH;Registro Nacional de Condutores Habilitados
RENAINF;Registro Nacional de Infrações de Trânsito
RENAVAM;Registro Nacional de Veículos Automotores
Res;Resolução
RNPC;Registro Nacional de Positivo de Condutores
SBAC;Sistema Brasileiro de Avaliação da Conformidade
SENATRAN;Secretaria Nacional de Trânsito
SISCSV;Sistema de Emissões e Controle de Certificado de Segurança Veicular
SNT;Sistema Nacional de Trânsito
SSD;Suspensão do Direito de Dirigir
t;Tonelada
UF;Unidade de Federação
VIN;Número de Identificação Veicular
VPC;Veículo Porta Contêiner.
VTAV;Veículo de Transporte de Animais Vivos.
